Model,Proxy Test AUC,Honest Test AUC,Proxy Test Acc,Honest Test Acc,AUC Drop,Acc Drop
Logistic Regression,0.9973867595818815,0.9973867595818816,0.9710144927536232,0.9565217391304348,-1.1102230246251565e-16,0.01449275362318836
Random Forest,0.9965156794425087,0.9930313588850175,0.9565217391304348,0.927536231884058,0.0034843205574912606,0.02898550724637683
Gradient Boosting,0.9991289198606272,0.9973867595818816,0.9855072463768116,0.9565217391304348,0.0017421602787456303,0.02898550724637683
