Model,CV AUC,Test AUC,Test Acc,Test Precision,Test Recall,Test F1
Gradient Boosting,0.9743434842496107,0.9991289198606272,0.9855072463768116,0.9655172413793104,1.0,0.9824561403508771
Logistic Regression,0.9983471074380166,0.9973867595818815,0.9710144927536232,0.9642857142857143,0.9642857142857143,0.9642857142857143
Random Forest,0.9914600550964187,0.9965156794425087,0.9565217391304348,0.9310344827586207,0.9642857142857143,0.9473684210526315
