feature,importance,cumulative
num_functions,0.11110509414846284,0.11110509414846284
max_cyclomatic_complexity,0.09648777199866466,0.20759286614712752
avg_function_complexity,0.08535371124457065,0.29294657739169816
cg_num_leaf_functions,0.08332727015004746,0.37627384754174564
dfg_num_external_sources,0.04883454576867609,0.4251083933104217
cg_num_public_entry_points,0.045156754209647404,0.4702651475200691
has_floating_pragma,0.04009972181630113,0.5103648693363703
cfg_avg_branching,0.028585739902743483,0.5389506092391138
cg_avg_calls_per_function,0.028159313636988592,0.5671099228761023
total_detector_hits,0.02804188997294874,0.595151812849051
low_severity_count,0.027481770842388214,0.6226335836914393
risk_score_weighted,0.02665265197402854,0.6492862356654678
risk_score_simple,0.025941442073310242,0.6752276777387781
security_detectors_triggered,0.02383958032301384,0.6990672580617919
medium_confidence_detectors,0.02263277737775715,0.7217000354395491
high_confidence_detectors,0.021695544263180135,0.7433955797027292
cfg_cyclomatic_total,0.020484075238762903,0.7638796549414921
cg_external_call_ratio,0.018884246200598573,0.7827639011420907
dfg_num_unvalidated_inputs,0.018579605178887005,0.8013435063209777
cg_num_internal_functions,0.01832194356345397,0.8196654498844317
has_unchecked_call,0.0169615321495436,0.8366269820339753
cfg_num_exit_points,0.016344171184937372,0.8529711532189127
cfg_max_depth,0.014307105043793705,0.8672782582627064
unique_vulnerability_types,0.013608529515068597,0.8808867877777751
cg_max_call_depth,0.011368188478325183,0.8922549762561003
medium_severity_count,0.007772612763411513,0.9000275890195117
cg_num_external_calls,0.007230495138441432,0.9072580841579532
high_severity_count,0.006752911000908248,0.9140109951588614
dfg_num_tainted_flows,0.0063745121817606895,0.9203855073406221
optimization_detectors_triggered,0.005850872936066563,0.9262363802766886
has_access_control_issues,0.0055667686956922076,0.9318031489723808
num_external_calls,0.005354035596561083,0.9371571845689419
has_locked_ether,0.005113377594032917,0.9422705621629749
num_library_calls,0.004978327494503708,0.9472488896574786
is_high_risk,0.004468626573426245,0.9517175162309048
contract_complexity_category_encoded,0.004460513482709945,0.9561780297136148
num_payable_functions,0.003770060184014754,0.9599480898976295
has_inline_assembly,0.0036676889545063807,0.9636157788521359
num_state_vars,0.003499570365254315,0.9671153492173902
dfg_num_sensitive_sinks,0.003468592953017945,0.9705839421704081
dfg_num_state_vars,0.003150623069506598,0.9737345652399148
num_modifiers,0.002525369565112496,0.9762599348050273
has_unused_state_vars,0.0025014320827224826,0.9787613668877497
has_unused_return_values,0.0023893562282053175,0.9811507231159551
dfg_has_cross_function_flow,0.0023382714853941947,0.9834889946013493
has_reentrancy_events,0.002175185110114617,0.9856641797114639
has_shadowing_state,0.0018305631905961735,0.9874947429020601
has_reentrancy_benign,0.0017235629644557317,0.9892183058665158
has_reentrancy,0.001719680258702982,0.9909379861252188
num_low_level_calls,0.0017129756991236553,0.9926509618243424
has_reentrancy_unlimited,0.001423244133490026,0.9940742059578325
dfg_taint_to_sink_ratio,0.0013891471622446033,0.995463353120077
cfg_num_cycles,0.0011257510055961172,0.9965891041256731
cg_has_cyclic_calls,0.0011150369834901368,0.9977041411091633
has_uninitialized_local,0.0010132348147105137,0.9987173759238738
cfg_has_complex_loops,0.0006305468121903206,0.9993479227360641
has_timestamp_dependency,0.0004647022518979246,0.999812624987962
has_uninitialized_state,0.0001155723660815312,0.9999281973540435
has_controlled_delegatecall,5.9460856204296634e-05,0.9999876582102478
has_unchecked_transfer,1.2341789752382485e-05,1.0000000000000002
num_functions_high_complexity,0.0,1.0000000000000002
num_unused_functions,0.0,1.0000000000000002
has_shadowing_builtin,0.0,1.0000000000000002
has_incorrect_solc_version,0.0,1.0000000000000002
has_outdated_compiler,0.0,1.0000000000000002
has_msg_value_loop,0.0,1.0000000000000002
has_tx_origin,0.0,1.0000000000000002
has_delegatecall_loop,0.0,1.0000000000000002
has_uninitialized_storage,0.0,1.0000000000000002
has_shadowing_abstract,0.0,1.0000000000000002
detectors_per_function,0.0,1.0000000000000002
detectors_per_loc,0.0,1.0000000000000002
low_confidence_detectors,0.0,1.0000000000000002
