id,high_severity_count,medium_severity_count,low_severity_count,num_functions,num_external_calls,num_state_vars,num_modifiers,max_cyclomatic_complexity,num_low_level_calls,lines_of_code,num_contracts_in_file,num_dependencies,avg_function_complexity,num_functions_high_complexity,num_comments,comment_to_code_ratio,num_payable_functions,num_library_calls,inheritance_depth,num_unused_functions,high_confidence_detectors,medium_confidence_detectors,low_confidence_detectors,security_detectors_triggered,optimization_detectors_triggered,total_detector_hits,unique_vulnerability_types,detectors_per_function,detectors_per_loc,risk_score_simple,risk_score_weighted,complexity_level,cfg_num_nodes,cfg_num_edges,cfg_num_cycles,cfg_max_depth,cfg_avg_branching,cfg_num_exit_points,cfg_cyclomatic_total,cg_num_nodes,cg_num_edges,cg_max_call_depth,cg_num_external_calls,cg_external_call_ratio,cg_num_public_entry_points,cg_num_internal_functions,cg_avg_calls_per_function,cg_num_leaf_functions,dfg_num_state_vars,dfg_num_tainted_flows,dfg_num_sensitive_sinks,dfg_num_external_sources,dfg_taint_to_sink_ratio,dfg_num_unvalidated_inputs,cei_violations,cei_safe_functions,cei_pattern_score,functions_with_reentrancy_guard,state_before_call_count,state_after_call_count,unchecked_calls_in_critical_context,ground_truth_vulnerable
262,0,0,14,6,1,1,0,7,0,119,10,1,2.5,0,70,0.5882352941176471,0,0,1,0,10,4,0,0,0,5,2,0.0,0.0,14.0,35.839999999999996,1,32,30,0,13,0.9375,6,15,6,14,2,1,0.06666666666666667,3,3,2.3333333333333335,12,1,1,1,9,1.0,4,0,0,1.0,0,0,0,0,False
84,0,0,4,2,0,0,0,1,0,16,1,1,1.0,0,7,0.4375,0,0,0,0,2,2,0,0,0,2,1,0.0,0.0,4.0,6.8,0,4,2,0,1,0.5,2,2,2,0,0,0,0.0,0,2,0.0,2,0,0,0,4,0.0,2,0,0,1.0,0,0,0,0,False
1042,0,1,3,5,0,4,0,3,0,73,2,1,1.4,0,43,0.589041095890411,0,0,1,0,5,1,0,1,2,3,1,0.0,0.0,8.0,15.199999999999998,0,20,15,0,4,0.75,4,7,5,3,1,0,0.0,4,1,0.6,3,4,1,0,12,0.0,4,0,0,1.0,0,0,0,0,False
192,0,0,15,4,0,2,0,1,0,19,12,1,1.0,0,3,0.15789473684210525,0,0,3,0,12,3,0,0,0,3,1,0.0,0.0,15.0,70.5,0,12,8,0,2,0.6666666666666666,0,4,4,7,1,0,0.0,3,1,1.75,5,2,0,0,4,0.0,2,0,0,1.0,0,0,0,0,False
998,1,8,5,2,0,0,0,3,0,114,1,1,3.0,0,51,0.4473684210526316,0,0,0,0,3,11,0,9,0,5,2,0.0,0.0,55.0,117.7,0,51,50,0,39,0.9803921568627451,2,6,2,5,0,0,0.0,0,2,2.5,2,0,0,0,6,0.0,2,0,0,1.0,0,0,0,0,False
526,0,0,3,7,0,0,0,1,0,96,1,1,1.0,0,59,0.6145833333333334,0,0,0,0,2,1,0,0,0,2,1,0.0,0.0,3.0,4.05,0,0,0,0,0,0.0,0,0,7,0,0,0,0.0,7,0,0.0,7,0,0,0,24,0.0,7,0,0,1.0,0,0,0,0,False
1030,0,11,83,7,4,1,0,3,0,36,19,1,1.2857142857142858,0,2,0.05555555555555555,0,0,1,0,48,46,0,11,0,14,5,0.0,0.0,138.0,790.5428571428571,0,21,15,0,5,0.7142857142857143,4,9,7,5,3,4,0.4444444444444444,4,3,0.7142857142857143,5,1,4,0,9,0.0,6,0,0,1.0,0,0,0,0,False
75,0,0,2,1,0,0,0,1,0,33,1,1,1.0,0,22,0.6666666666666666,0,0,0,0,2,0,0,0,0,1,1,0.0,0.0,2.0,4.0,0,0,0,0,0,0.0,0,0,1,0,0,0,0.0,1,0,0.0,1,0,0,0,6,0.0,1,0,0,1.0,0,0,0,0,False
66,0,0,5,0,0,0,0,0,0,5,2,1,0.0,0,2,0.4,0,0,1,0,5,0,0,0,0,3,1,0.0,0.0,5.0,8.333333333333334,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,1.0,0,0,0,0,False
146,0,0,2,1,0,0,0,1,0,7,1,1,1.0,0,1,0.14285714285714285,0,0,0,0,2,0,0,0,0,1,1,0.0,0.0,2.0,4.0,0,2,1,0,1,0.5,1,1,1,0,0,0,0.0,1,0,0.0,1,0,0,0,0,0.0,0,0,0,1.0,0,0,0,0,False
