contract_id,contract_name,address,file_path,compiler_version,data_source,has_reentrancy,has_access_control_issues,has_timestamp_dependency,has_unchecked_call,has_reentrancy_unlimited,has_reentrancy_benign,has_reentrancy_events,has_unchecked_transfer,has_controlled_delegatecall,has_delegatecall_loop,has_uninitialized_state,has_uninitialized_storage,has_uninitialized_local,has_tx_origin,has_inline_assembly,has_locked_ether,has_msg_value_loop,has_shadowing_state,has_shadowing_builtin,has_shadowing_abstract,has_unused_state_vars,has_unused_return_values,has_incorrect_solc_version,has_floating_pragma,has_outdated_compiler,high_severity_count,medium_severity_count,low_severity_count,num_functions,num_external_calls,num_state_vars,num_modifiers,max_cyclomatic_complexity,num_low_level_calls,lines_of_code,num_contracts_in_file,num_dependencies,avg_function_complexity,num_functions_high_complexity,num_comments,comment_to_code_ratio,num_payable_functions,num_library_calls,inheritance_depth,num_unused_functions,high_confidence_detectors,medium_confidence_detectors,low_confidence_detectors,security_detectors_triggered,optimization_detectors_triggered,total_detector_hits,unique_vulnerability_types,detectors_per_function,detectors_per_loc,risk_score_simple,risk_score_weighted,is_high_risk,contract_complexity_category,complexity_level,failure_reason,error_message,cfg_num_nodes,cfg_num_edges,cfg_num_cycles,cfg_max_depth,cfg_avg_branching,cfg_has_complex_loops,cfg_num_exit_points,cfg_cyclomatic_total,cg_num_nodes,cg_num_edges,cg_max_call_depth,cg_num_external_calls,cg_external_call_ratio,cg_has_cyclic_calls,cg_num_public_entry_points,cg_num_internal_functions,cg_avg_calls_per_function,cg_num_leaf_functions,dfg_num_state_vars,dfg_num_tainted_flows,dfg_has_cross_function_flow,dfg_num_sensitive_sinks,dfg_num_external_sources,dfg_taint_to_sink_ratio,dfg_num_unvalidated_inputs,cei_violations,cei_safe_functions,cei_pattern_score,has_reentrancy_guard,functions_with_reentrancy_guard,state_before_call_count,state_after_call_count,unchecked_calls_in_critical_context
1,interfaces_IERC4626,0x0000000000000000000005567953113659177100,data/safe_contracts/openzeppelin_all/interfaces_IERC4626.sol,,smartbugs,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,simple,0,IMPORT_ERROR,"File not found: Invalid compilation: 
Invalid solc compilation Error: Source ""data/safe_contracts/token/ERC20/IERC20.sol"" not found: File not found. Searched the following locations: """".
 --> data/safe_contracts/openzeppelin_all/interfaces_IERC4626.sol:6:1:
  |
6 | import {IERC20} from ""../token/ERC20/IERC20.sol"";
  | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^

Error: Source ""data/safe_contracts/token/ERC20/extensions/IERC20Metadata.sol"" not found: File not found. Searched the following locations: """".
 --> data/safe_contracts/openzeppelin_all/interfaces_IERC4626.sol:7:1:
  |
7 | import {IERC20Metadata} from ""../token/ERC20/extensions/IERC20Metadata.sol"";
  | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^

",0,0,0,0,0.0,False,0,0,0,0,0,0,0.0,False,0,0,0.0,0,0,0,False,0,0,0.0,0,0,0,1.0,False,0,0,0,0
2,interfaces_IERC3156FlashBorrower,0x0000000000000000000005929258828161899460,data/safe_contracts/openzeppelin_all/interfaces_IERC3156FlashBorrower.sol,,smartbugs,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,2,1,0,0,0,1,0,25,1,1,1.0,0,15,0.6,0,0,0,0,2,0,0,0,0,1,1,0.0,0.0,2.0,4.0,False,simple,0,,,0,0,0,0,0.0,False,0,0,1,0,0,0,0.0,False,1,0,0.0,1,0,0,False,0,5,0.0,1,0,0,1.0,False,0,0,0,0
3,interfaces_IERC2612,0x9999999999999999999994583120781339311723,data/safe_contracts/openzeppelin_all/interfaces_IERC2612.sol,,smartbugs,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,simple,0,IMPORT_ERROR,"File not found: Invalid compilation: 
Invalid solc compilation Error: Source ""data/safe_contracts/token/ERC20/extensions/IERC20Permit.sol"" not found: File not found. Searched the following locations: """".
 --> data/safe_contracts/openzeppelin_all/interfaces_IERC2612.sol:6:1:
  |
6 | import {IERC20Permit} from ""../token/ERC20/extensions/IERC20Permit.sol"";
  | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^

",0,0,0,0,0.0,False,0,0,0,0,0,0,0.0,False,0,0,0.0,0,0,0,False,0,0,0.0,0,0,0,1.0,False,0,0,0,0
4,token_ERC721_extensions_IERC721Metadata,0x0000000000000000000002625391149819310861,data/safe_contracts/openzeppelin_all/token_ERC721_extensions_IERC721Metadata.sol,,smartbugs,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,simple,0,IMPORT_ERROR,"File not found: Invalid compilation: 
Invalid solc compilation Error: Source ""data/safe_contracts/IERC721.sol"" not found: File not found. Searched the following locations: """".
 --> data/safe_contracts/openzeppelin_all/token_ERC721_extensions_IERC721Metadata.sol:6:1:
  |
6 | import {IERC721} from ""../IERC721.sol"";
  | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^

",0,0,0,0,0.0,False,0,0,0,0,0,0,0.0,False,0,0,0.0,0,0,0,False,0,0,0.0,0,0,0,1.0,False,0,0,0,0
5,crosschain_ERC7786Recipient,0x0000000000000000000008146896385547077866,data/safe_contracts/openzeppelin_all/crosschain_ERC7786Recipient.sol,,smartbugs,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,simple,0,IMPORT_ERROR,"File not found: Invalid compilation: 
Invalid solc compilation Error: Source ""data/safe_contracts/interfaces/draft-IERC7786.sol"" not found: File not found. Searched the following locations: """".
 --> data/safe_contracts/openzeppelin_all/crosschain_ERC7786Recipient.sol:6:1:
  |
6 | import {IERC7786Recipient} from ""../interfaces/draft-IERC7786.sol"";
  | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^

Error: Source ""data/safe_contracts/utils/structs/BitMaps.sol"" not found: File not found. Searched the following locations: """".
 --> data/safe_contracts/openzeppelin_all/crosschain_ERC7786Recipient.sol:7:1:
  |
7 | import {BitMaps} from ""../utils/structs/BitMaps.sol"";
  | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^

",0,0,0,0,0.0,False,0,0,0,0,0,0,0.0,False,0,0,0.0,0,0,0,False,0,0,0.0,0,0,0,1.0,False,0,0,0,0
6,token_ERC20_extensions_ERC4626,0x9999999999999999999993278547471844243804,data/safe_contracts/openzeppelin_all/token_ERC20_extensions_ERC4626.sol,,smartbugs,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,simple,0,IMPORT_ERROR,"File not found: Invalid compilation: 
Invalid solc compilation Error: Source ""data/safe_contracts/ERC20.sol"" not found: File not found. Searched the following locations: """".
 --> data/safe_contracts/openzeppelin_all/token_ERC20_extensions_ERC4626.sol:6:1:
  |
6 | import {IERC20, IERC20Metadata, ERC20} from ""../ERC20.sol"";
  | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^

Error: Source ""data/safe_contracts/utils/SafeERC20.sol"" not found: File not found. Searched the following locations: """".
 --> data/safe_contracts/openzeppelin_all/token_ERC20_extensions_ERC4626.sol:7:1:
  |
7 | import {SafeERC20} from ""../utils/SafeERC20.sol"";
  | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^

Error: Source ""interfaces/IERC4626.sol"" not found: File not found. Searched the following locations: """".
 --> data/safe_contracts/openzeppelin_all/token_ERC20_extensions_ERC4626.sol:8:1:
  |
8 | import {IERC4626} from ""../../../interfaces/IERC4626.sol"";
  | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^

Error: Source ""utils/LowLevelCall.sol"" not found: File not found. Searched the following locations: """".
 --> data/safe_contracts/openzeppelin_all/token_ERC20_extensions_ERC4626.sol:9:1:
  |
9 | import {LowLevelCall} from ""../../../utils/LowLevelCall.sol"";
  | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^

Error: Source ""utils/Memory.sol"" not found: File not found. Searched the following locations: """".
  --> data/safe_contracts/openzeppelin_all/token_ERC20_extensions_ERC4626.sol:10:1:
   |
10 | import {Memory} from ""../../../utils/Memory.sol"";
   | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^

Error: Source ""utils/math/Math.sol"" not found: File not found. Searched the following locations: """".
  --> data/safe_contracts/openzeppelin_all/token_ERC20_extensions_ERC4626.sol:11:1:
   |
11 | import {Math} from ""../../../utils/math/Math.sol"";
   | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^

",0,0,0,0,0.0,False,0,0,0,0,0,0,0.0,False,0,0,0.0,0,0,0,False,0,0,0.0,0,0,0,1.0,False,0,0,0,0
7,governance_utils_VotesExtended,0x9999999999999999999996065118250125976975,data/safe_contracts/openzeppelin_all/governance_utils_VotesExtended.sol,,smartbugs,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,simple,0,IMPORT_ERROR,"File not found: Invalid compilation: 
Invalid solc compilation Error: Source ""data/utils/structs/Checkpoints.sol"" not found: File not found. Searched the following locations: """".
 --> data/safe_contracts/openzeppelin_all/governance_utils_VotesExtended.sol:6:1:
  |
6 | import {Checkpoints} from ""../../utils/structs/Checkpoints.sol"";
  | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^

Error: Source ""data/safe_contracts/openzeppelin_all/Votes.sol"" not found: File not found. Searched the following locations: """".
 --> data/safe_contracts/openzeppelin_all/governance_utils_VotesExtended.sol:7:1:
  |
7 | import {Votes} from ""./Votes.sol"";
  | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^

Error: Source ""data/utils/math/SafeCast.sol"" not found: File not found. Searched the following locations: """".
 --> data/safe_contracts/openzeppelin_all/governance_utils_VotesExtended.sol:8:1:
  |
8 | import {SafeCast} from ""../../utils/math/SafeCast.sol"";
  | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^

",0,0,0,0,0.0,False,0,0,0,0,0,0,0.0,False,0,0,0.0,0,0,0,False,0,0,0.0,0,0,0,1.0,False,0,0,0,0
8,interfaces_draft-IERC7786,0x0000000000000000000004440530116497640424,data/safe_contracts/openzeppelin_all/interfaces_draft-IERC7786.sol,,smartbugs,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,2,0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0,0,0,2,0,0,0,0,1,1,0.0,0.0,2.0,4.0,False,simple,0,,,0,0,0,0,0.0,False,0,0,0,0,0,0,0.0,False,0,0,0.0,0,0,0,False,0,0,0.0,0,0,0,1.0,False,0,0,0,0
9,utils_math_Math,0x0000000000000000000003579626602339585149,data/safe_contracts/openzeppelin_all/utils_math_Math.sol,,smartbugs,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,simple,0,IMPORT_ERROR,"File not found: Invalid compilation: 
Invalid solc compilation Error: Source ""data/safe_contracts/Panic.sol"" not found: File not found. Searched the following locations: """".
 --> data/safe_contracts/openzeppelin_all/utils_math_Math.sol:6:1:
  |
6 | import {Panic} from ""../Panic.sol"";
  | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^

Error: Source ""data/safe_contracts/openzeppelin_all/SafeCast.sol"" not found: File not found. Searched the following locations: """".
 --> data/safe_contracts/openzeppelin_all/utils_math_Math.sol:7:1:
  |
7 | import {SafeCast} from ""./SafeCast.sol"";
  | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^

",0,0,0,0,0.0,False,0,0,0,0,0,0,0.0,False,0,0,0.0,0,0,0,False,0,0,0.0,0,0,0,1.0,False,0,0,0,0
10,proxy_utils_Initializable,0x9999999999999999999997681529032264466208,data/safe_contracts/openzeppelin_all/proxy_utils_Initializable.sol,,smartbugs,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0,0,9,7,0,1,3,5,0,218,1,1,1.8571428571428572,0,143,0.6559633027522935,0,0,0,0,3,6,0,0,0,3,2,0.0,0.0,9.0,21.6,False,simple,0,,,25,21,0,6,0.84,False,3,13,7,7,0,0,0.0,False,0,7,1.0,4,1,0,True,0,0,0.0,0,0,0,1.0,False,0,0,0,0
