vulnerability,accuracy,precision,recall,f1_score,roc_auc,n_train_positive,n_test_positive,tn,fp,fn,tp,top_feature,top_importance
has_reentrancy,0.8571428571428571,0.6111111111111112,0.8461538461538461,0.7096774193548387,0.916923076923077,52,13,43,7,2,11,num_functions,0.1801854246443453
has_unchecked_call,0.9047619047619048,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.9460470085470086,93,24,37,2,4,20,lines_of_code,0.14602118090132143
has_access_control_issues,0.9523809523809523,0.8,0.6666666666666666,0.7272727272727273,0.8143274853801169,34,6,56,1,2,4,comment_to_code_ratio,0.17833512980317315
has_timestamp_dependency,0.9047619047619048,0.8181818181818182,0.6923076923076923,0.75,0.8846153846153846,40,13,48,2,4,9,max_cyclomatic_complexity,0.18918558603162355
