contract_name,file_path,has_reentrancy,has_access_control_issues,has_timestamp_dependency,has_unchecked_call,high_severity_count,medium_severity_count,low_severity_count,num_functions,num_external_calls,num_state_vars,num_modifiers,max_cyclomatic_complexity,num_low_level_calls
InitializableAdminUpgradeabilityProxy,blockchain/contracts/collected/InitializableAdminUpgradeabilityProxy_0x7fc66500.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
Comp,blockchain/contracts/collected/Comp_0xc00e94cb.sol,False,False,True,False,0,1,5,20,3,12,0,14,0
ERC677MultiBridgeToken,blockchain/contracts/collected/ERC677MultiBridgeToken_0x0Ae05509.sol,True,False,True,True,0,0,63,6,4,4,0,4,0
ERC1967Proxy,blockchain/contracts/collected/ERC1967Proxy_0x77146784.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
ConnextERC20,blockchain/contracts/collected/ConnextERC20_0xfe67a445.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
FRAXShares,blockchain/contracts/collected/FRAXShares_0x3432b6a6.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
InstaToken,blockchain/contracts/collected/InstaToken_0x6f40d4a6.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
SOLV,blockchain/contracts/collected/SOLV_0x256f2d67.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
LQTYToken,blockchain/contracts/collected/LQTYToken_0x6DEA81C8.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
BIFI,blockchain/contracts/collected/BIFI_0xB1F1ee12.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
YBToken,blockchain/contracts/collected/YBToken_0x01791f72.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
StargateToken,blockchain/contracts/collected/StargateToken_0xaf5191b0.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
UNCX,blockchain/contracts/collected/UNCX_0xadb2437e.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
InitializableAdminUpgradeabilityProxy,blockchain/contracts/collected/InitializableAdminUpgradeabilityProxy_0x7fc66500.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
BurnableMintableCappedERC20,blockchain/contracts/collected/BurnableMintableCappedERC20_0x467719ad.sol,False,True,True,True,1,0,14,4,2,0,0,3,0
BalancerGovernanceToken,blockchain/contracts/collected/BalancerGovernanceToken_0xba100000.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
TransparentUpgradeableProxy,blockchain/contracts/collected/TransparentUpgradeableProxy_0xC4441c2B.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
YFI,blockchain/contracts/collected/YFI_0x0bc529c0.sol,False,False,False,True,0,0,21,5,0,2,0,1,0
RSR,blockchain/contracts/collected/RSR_0x320623b8.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
Eul,blockchain/contracts/collected/Eul_0xd9fcd98c.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
NXMToken,blockchain/contracts/collected/NXMToken_0xd7c49cee.sol,False,False,True,False,0,0,15,23,14,9,2,3,0
LQTYToken,blockchain/contracts/collected/LQTYToken_0x6DEA81C8.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
SushiToken,blockchain/contracts/collected/SushiToken_0x6b359506.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
GearToken,blockchain/contracts/collected/GearToken_0xba333558.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
Melon,blockchain/contracts/collected/Melon_0xec67005c.sol,False,False,False,False,0,0,20,6,1,9,4,1,0
Vyper,blockchain/contracts/collected/Vyper_contract_0xD533a949.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
AuraToken,blockchain/contracts/collected/AuraToken_0xc0c293ce.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
FRAXShares,blockchain/contracts/collected/FRAXShares_0x3432b6a6.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
AlphaToken,blockchain/contracts/collected/AlphaToken_0xa1faa113.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
SushiToken,blockchain/contracts/collected/SushiToken_0x6b359506.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
RailToken,blockchain/contracts/collected/RailToken_0xe76c6c83.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
FiatTokenProxy,blockchain/contracts/collected/FiatTokenProxy_0xA0b86991.sol,False,False,False,True,0,3,14,1,0,0,0,1,0
TetherToken,blockchain/contracts/collected/TetherToken_0xdAC17F95.sol,False,False,False,False,0,15,30,13,7,5,0,2,0
