contract_name,file_path,has_reentrancy,has_access_control_issues,has_timestamp_dependency,has_unchecked_call,high_severity_count,medium_severity_count,low_severity_count,num_functions,num_external_calls,num_state_vars,num_modifiers,max_cyclomatic_complexity,num_low_level_calls
AcrossToken,blockchain/contracts/collected/AcrossToken_0x44108f02.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
AlphaToken,blockchain/contracts/collected/AlphaToken_0xa1faa113.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
Curve DAO Token,blockchain/contracts/collected/Curve DAO Token_0x365accfc.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
ENA,blockchain/contracts/collected/ENA_0x57e114b6.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
Anvil,blockchain/contracts/collected/Anvil_0xAEEAa594.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
ConnextERC20,blockchain/contracts/collected/ConnextERC20_0xfe67a445.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
PENDLE,blockchain/contracts/collected/PENDLE_0x80850712.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
Renzo,blockchain/contracts/collected/Renzo_0x3b508054.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
Melon,blockchain/contracts/collected/Melon_0xec67005c.sol,False,False,False,False,0,0,20,6,1,9,4,1,0
YALA,blockchain/contracts/collected/YALA_0xf9707060.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
FRAXShares,blockchain/contracts/collected/FRAXShares_0x3432b6a6.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
MiniMeToken,blockchain/contracts/collected/MiniMeToken_0x5a98fcbe.sol,True,False,False,False,1,2,55,22,12,12,0,12,0
YFI,blockchain/contracts/collected/YFI_0x0bc529c0.sol,False,False,False,True,0,0,21,5,0,2,0,1,0
TransparentUpgradeableProxy,blockchain/contracts/collected/TransparentUpgradeableProxy_0xC4441c2B.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
SushiToken,blockchain/contracts/collected/SushiToken_0x6b359506.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
Dai,blockchain/contracts/collected/Dai_0x6b175474.sol,False,False,True,False,0,0,4,15,3,11,1,3,0
GearToken,blockchain/contracts/collected/GearToken_0xba333558.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
LockProxy,blockchain/contracts/collected/LockProxy_0x250e7698.sol,True,True,False,True,2,1,100,12,16,4,1,3,0
DSToken,blockchain/contracts/collected/DSToken_0x89d24A6b.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
Up,blockchain/contracts/collected/Up_0x1d926bbe.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
Doodles,blockchain/contracts/collected/Doodles_0x8a90CAb2.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
DSToken,blockchain/contracts/collected/DSToken_0x89d24A6b.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
Dai,blockchain/contracts/collected/Dai_0x6b175474.sol,False,False,True,False,0,0,4,15,3,11,1,3,0
