contract_id,contract_name,address,file_path,compiler_version,data_source,has_reentrancy,has_access_control_issues,has_timestamp_dependency,has_unchecked_call,has_reentrancy_unlimited,has_reentrancy_benign,has_reentrancy_events,has_unchecked_transfer,has_controlled_delegatecall,has_delegatecall_loop,has_uninitialized_state,has_uninitialized_storage,has_uninitialized_local,has_tx_origin,has_inline_assembly,has_locked_ether,has_msg_value_loop,has_shadowing_state,has_shadowing_builtin,has_shadowing_abstract,has_unused_state_vars,has_unused_return_values,has_incorrect_solc_version,has_floating_pragma,has_outdated_compiler,high_severity_count,medium_severity_count,low_severity_count,num_functions,num_external_calls,num_state_vars,num_modifiers,max_cyclomatic_complexity,num_low_level_calls,lines_of_code,num_contracts_in_file,num_dependencies,avg_function_complexity,num_functions_high_complexity,num_comments,comment_to_code_ratio,num_payable_functions,num_library_calls,inheritance_depth,num_unused_functions,high_confidence_detectors,medium_confidence_detectors,low_confidence_detectors,security_detectors_triggered,optimization_detectors_triggered,total_detector_hits,unique_vulnerability_types,detectors_per_function,detectors_per_loc,risk_score_simple,risk_score_weighted,is_high_risk,contract_complexity_category,complexity_level,failure_reason,error_message,cfg_num_nodes,cfg_num_edges,cfg_num_cycles,cfg_max_depth,cfg_avg_branching,cfg_has_complex_loops,cfg_num_exit_points,cfg_cyclomatic_total,cg_num_nodes,cg_num_edges,cg_max_call_depth,cg_num_external_calls,cg_external_call_ratio,cg_has_cyclic_calls,cg_num_public_entry_points,cg_num_internal_functions,cg_avg_calls_per_function,cg_num_leaf_functions,dfg_num_state_vars,dfg_num_tainted_flows,dfg_has_cross_function_flow,dfg_num_sensitive_sinks,dfg_num_external_sources,dfg_taint_to_sink_ratio,dfg_num_unvalidated_inputs,cei_violations,cei_safe_functions,cei_pattern_score,has_reentrancy_guard,functions_with_reentrancy_guard,state_before_call_count,state_after_call_count,unchecked_calls_in_critical_context
286,ERC1155URIStorage,0x9999999999999999999990933648015956620321,data/safe_contracts/openzeppelin-contracts/contracts/token/ERC1155/extensions/ERC1155URIStorage.sol,,openzeppelin,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,simple,0,COMPILATION_ERROR,Compilation error: unresolved reference to identifier mcopy,0,0,0,0,0.0,False,0,0,0,0,0,0,0.0,False,0,0,0.0,0,0,0,False,0,0,0.0,0,0,0,1.0,False,0,0,0,0
287,ERC1155Pausable,0x0000000000000000000003031894536622863754,data/safe_contracts/openzeppelin-contracts/contracts/token/ERC1155/extensions/ERC1155Pausable.sol,,openzeppelin,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,simple,0,COMPILATION_ERROR,Compilation error: unresolved reference to identifier mcopy,0,0,0,0,0.0,False,0,0,0,0,0,0,0.0,False,0,0,0.0,0,0,0,False,0,0,0.0,0,0,0,1.0,False,0,0,0,0
288,IERC1155MetadataURI,0x9999999999999999999995229744731643362662,data/safe_contracts/openzeppelin-contracts/contracts/token/ERC1155/extensions/IERC1155MetadataURI.sol,,openzeppelin,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,0,0,5,1,0,0,0,1,0,17,3,1,1.0,0,12,0.7058823529411765,0,0,2,0,5,0,0,0,0,2,1,0.0,0.0,5.0,12.5,False,simple,0,,,0,0,0,0,0.0,False,0,0,1,0,0,0,0.0,False,1,0,0.0,1,0,0,False,0,1,0.0,1,0,0,1.0,False,0,0,0,0
289,Heap,0x0000000000000000000006331365282082727528,data/safe_contracts/openzeppelin-contracts/contracts/utils/structs/Heap.sol,,openzeppelin,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,simple,0,COMPILATION_ERROR,Compilation error: unresolved reference to identifier mcopy,0,0,0,0,0.0,False,0,0,0,0,0,0,0.0,False,0,0,0.0,0,0,0,False,0,0,0.0,0,0,0,1.0,False,0,0,0,0
290,BitMaps,0x0000000000000000000002727130556187723532,data/safe_contracts/openzeppelin-contracts/contracts/utils/structs/BitMaps.sol,,openzeppelin,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,6,4,0,0,0,3,0,55,1,1,1.5,0,27,0.4909090909090909,0,0,0,0,2,4,0,0,0,2,1,0.0,0.0,6.0,14.399999999999999,False,simple,0,,,17,14,0,3,0.8235294117647058,False,1,6,4,2,0,0,0.0,False,0,4,0.5,3,0,0,False,0,9,0.0,4,0,0,1.0,False,0,0,0,0
291,Accumulators,0x0000000000000000000000483182837360732802,data/safe_contracts/openzeppelin-contracts/contracts/utils/structs/Accumulators.sol,,openzeppelin,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,simple,0,COMPILATION_ERROR,Compilation error: unresolved reference to identifier mcopy,0,0,0,0,0.0,False,0,0,0,0,0,0,0.0,False,0,0,0.0,0,0,0,False,0,0,0.0,0,0,0,1.0,False,0,0,0,0
292,EnumerableMap,0x9999999999999999999992750293722151366929,data/safe_contracts/openzeppelin-contracts/contracts/utils/structs/EnumerableMap.sol,,openzeppelin,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,simple,0,COMPILATION_ERROR,Compilation error: unresolved reference to identifier mcopy,0,0,0,0,0.0,False,0,0,0,0,0,0,0.0,False,0,0,0.0,0,0,0,False,0,0,0.0,0,0,0,1.0,False,0,0,0,0
293,DoubleEndedQueue,0x0000000000000000000000598515382672983437,data/safe_contracts/openzeppelin-contracts/contracts/utils/structs/DoubleEndedQueue.sol,,openzeppelin,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0,0,22,17,7,0,0,3,0,218,2,1,2.6470588235294117,0,109,0.5,0,7,0,0,4,18,0,0,0,3,2,0.0,0.0,22.0,121.73333333333332,True,moderate,1,,,107,97,0,8,0.9065420560747663,False,19,45,17,10,0,7,0.4117647058823529,False,0,17,0.5882352941176471,7,0,7,False,0,23,0.0,17,0,0,1.0,False,0,0,0,0
294,EnumerableSet,0x9999999999999999999999811106736105718482,data/safe_contracts/openzeppelin-contracts/contracts/utils/structs/EnumerableSet.sol,,openzeppelin,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,simple,0,COMPILATION_ERROR,Compilation error: unresolved reference to identifier mcopy,0,0,0,0,0.0,False,0,0,0,0,0,0,0.0,False,0,0,0.0,0,0,0,False,0,0,0.0,0,0,0,1.0,False,0,0,0,0
295,CircularBuffer,0x0000000000000000000007101150723565183291,data/safe_contracts/openzeppelin-contracts/contracts/utils/structs/CircularBuffer.sol,,openzeppelin,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,simple,0,COMPILATION_ERROR,Compilation error: unresolved reference to identifier mcopy,0,0,0,0,0.0,False,0,0,0,0,0,0,0.0,False,0,0,0.0,0,0,0,False,0,0,0.0,0,0,0,1.0,False,0,0,0,0
