id,has_reentrancy,has_access_control_issues,has_timestamp_dependency,has_unchecked_call,has_reentrancy_unlimited,has_reentrancy_benign,has_reentrancy_events,has_unchecked_transfer,has_controlled_delegatecall,has_delegatecall_loop,has_uninitialized_state,has_uninitialized_storage,has_uninitialized_local,has_tx_origin,has_inline_assembly,has_locked_ether,has_msg_value_loop,has_shadowing_state,has_shadowing_builtin,has_shadowing_abstract,has_unused_state_vars,has_unused_return_values,has_incorrect_solc_version,has_floating_pragma,has_outdated_compiler,high_severity_count,medium_severity_count,low_severity_count,num_functions,num_external_calls,num_state_vars,num_modifiers,max_cyclomatic_complexity,num_low_level_calls,lines_of_code,num_contracts_in_file,num_dependencies,avg_function_complexity,num_functions_high_complexity,num_comments,comment_to_code_ratio,num_payable_functions,num_library_calls,inheritance_depth,num_unused_functions,high_confidence_detectors,medium_confidence_detectors,low_confidence_detectors,security_detectors_triggered,optimization_detectors_triggered,total_detector_hits,unique_vulnerability_types,detectors_per_function,detectors_per_loc,risk_score_simple,risk_score_weighted,is_high_risk,contract_complexity_category,complexity_level,cfg_num_nodes,cfg_num_edges,cfg_num_cycles,cfg_max_depth,cfg_avg_branching,cfg_has_complex_loops,cfg_num_exit_points,cfg_cyclomatic_total,cg_num_nodes,cg_num_edges,cg_max_call_depth,cg_num_external_calls,cg_external_call_ratio,cg_has_cyclic_calls,cg_num_public_entry_points,cg_num_internal_functions,cg_avg_calls_per_function,cg_num_leaf_functions,dfg_num_state_vars,dfg_num_tainted_flows,dfg_has_cross_function_flow,dfg_num_sensitive_sinks,dfg_num_external_sources,dfg_taint_to_sink_ratio,dfg_num_unvalidated_inputs,cei_violations,cei_safe_functions,cei_pattern_score,has_reentrancy_guard,functions_with_reentrancy_guard,state_before_call_count,state_after_call_count,unchecked_calls_in_critical_context,created_at,ground_truth_vulnerable,num_known_vulns,ground_truth_vulnerable
331,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,3,3,1,1,1,1,0,28,1,1,1.0,0,8,0.2857142857142857,1,0,0,0,3,0,0,0,0,2,1,0.0,0.0,3.0,4.5,False,simple,0,6,3,0,2,0.5,False,0,3,3,2,1,1,0.3333333333333333,False,3,0,0.6666666666666666,4,1,0,True,1,0,0.0,0,0,0,1.0,False,0,0,0,0,2025-12-22 13:02:29.925961,True,1,True
332,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,4,4,2,2,0,1,0,32,1,1,1.0,0,11,0.34375,1,0,0,0,2,2,0,0,1,3,2,0.0,0.0,4.0,4.533333333333333,False,simple,0,12,8,0,3,0.6666666666666666,False,0,4,4,4,1,2,0.3333333333333333,False,4,0,1.0,4,2,2,True,2,2,1.0,2,0,0,1.0,False,0,0,0,0,2025-12-22 13:02:30.261271,True,1,True
333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,4,3,0,2,1,1,0,53,2,1,1.0,0,23,0.4339622641509434,0,0,0,0,4,0,0,0,0,2,1,0.0,0.0,4.0,8.0,False,simple,0,12,9,0,4,0.75,False,2,3,3,3,1,0,0.0,False,3,0,1.0,3,2,2,True,0,2,0.0,2,0,0,1.0,False,0,0,0,0,2025-12-22 13:02:30.612940,True,1,True
334,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2,0,2,3,1,2,0,3,0,25,1,1,1.6666666666666667,0,7,0.28,0,0,0,0,4,1,0,2,0,4,2,0.0,0.0,22.0,25.85,True,simple,0,10,8,0,3,0.8,False,1,5,3,2,1,1,0.3333333333333333,False,3,0,0.6666666666666666,4,2,1,True,1,3,1.0,2,0,0,1.0,False,0,0,0,0,2025-12-22 13:02:30.947303,True,1,True
335,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,0,2,1,0,0,0,1,0,13,1,1,1.0,0,7,0.5384615384615384,0,0,0,0,3,0,0,1,0,2,2,0.0,0.0,12.0,18.0,False,simple,0,2,1,0,1,0.5,False,0,1,1,1,1,0,0.0,False,1,0,1.0,1,0,0,False,0,0,0.0,0,0,0,1.0,False,0,0,0,0,2025-12-22 13:02:31.259498,True,1,True
336,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,3,3,1,1,1,1,0,26,1,1,1.0,0,6,0.23076923076923078,1,0,0,0,3,0,0,0,0,2,1,0.0,0.0,3.0,4.5,False,simple,0,6,3,0,2,0.5,False,0,3,3,2,1,1,0.3333333333333333,False,3,0,0.6666666666666666,4,1,0,True,1,0,0.0,0,0,0,1.0,False,0,0,0,0,2025-12-22 13:02:31.582916,True,1,True
337,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,2,3,1,1,1,1,0,26,1,1,1.0,0,6,0.23076923076923078,1,0,0,0,2,0,0,0,0,1,1,0.0,0.0,2.0,4.0,False,simple,0,6,3,0,2,0.5,False,0,3,3,2,1,1,0.3333333333333333,False,3,0,0.6666666666666666,4,1,0,True,1,0,0.0,0,0,0,1.0,False,0,0,0,0,2025-12-22 13:02:31.909631,True,1,True
338,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,4,2,0,1,1,1,0,33,1,1,1.0,0,15,0.45454545454545453,0,0,0,0,3,1,0,0,0,3,1,0.0,0.0,4.0,4.933333333333334,False,simple,0,4,2,0,1,0.5,False,0,2,2,0,0,0,0.0,False,2,0,0.0,2,1,1,False,0,1,0.0,1,0,0,1.0,False,0,0,0,0,2025-12-22 13:02:32.230899,True,1,True
339,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,0,4,2,1,1,0,1,1,16,1,1,1.0,0,6,0.375,0,0,0,0,5,1,0,1,0,5,3,0.0,0.0,14.0,15.96,True,simple,0,4,2,0,1,0.5,False,0,2,2,1,1,1,0.5,False,2,0,0.5,2,1,1,False,1,2,1.0,1,0,0,1.0,False,0,0,0,0,2025-12-22 13:02:32.544068,True,1,True
340,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,4,0,9,5,3,5,0,1,2,52,2,1,1.0,0,18,0.34615384615384615,1,0,0,0,11,4,0,4,0,9,5,0.0,0.0,49.0,75.13333333333333,True,simple,0,10,5,0,3,0.5,False,0,5,5,3,1,3,0.5,False,3,2,0.6,4,5,1,True,3,1,0.3333333333333333,1,0,1,1.0,False,0,1,0,0,2025-12-22 13:02:32.890159,True,1,True
341,True,True,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,2,2,59,0,0,0,0,0,0,345,3,1,0.0,0,95,0.2753623188405797,0,0,0,0,58,6,0,4,0,13,7,0.0,0.0,89.0,425.83076923076925,True,simple,0,0,0,0,0,0.0,False,0,0,0,0,0,0,0.0,False,0,0,0.0,0,0,0,False,0,0,0.0,0,0,0,1.0,False,0,0,0,0,2025-12-22 13:02:33.387873,True,1,True
342,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,3,9,4,2,5,0,3,0,44,2,1,2.5,0,7,0.1590909090909091,0,0,0,0,9,5,0,4,1,9,5,0.0,0.0,34.0,47.22222222222222,True,simple,0,23,19,0,7,0.8260869565217391,False,3,10,4,1,1,2,0.6666666666666666,False,3,1,0.25,4,5,0,True,2,0,0.0,0,0,0,1.0,False,0,0,0,0,2025-12-22 13:02:33.732752,True,1,True
343,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2,1,3,2,1,1,0,3,0,21,1,1,2.0,0,8,0.38095238095238093,2,0,0,0,3,3,0,3,0,5,3,0.0,0.0,28.0,28.560000000000002,True,simple,0,8,7,0,5,0.875,False,0,4,2,2,1,1,0.3333333333333333,False,2,0,1.0,3,1,0,True,1,0,0.0,0,0,0,1.0,False,0,0,0,0,2025-12-22 13:02:34.070543,True,1,True
344,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2,1,5,3,2,4,0,3,0,42,1,1,1.6666666666666667,0,22,0.5238095238095238,1,0,0,0,4,4,0,3,1,7,4,0.0,0.0,30.0,29.14285714285714,True,simple,0,13,11,0,7,0.8461538461538461,False,0,5,3,2,1,2,0.5,False,2,1,0.6666666666666666,4,4,0,True,2,0,0.0,0,0,0,1.0,False,0,0,0,0,2025-12-22 13:02:34.439205,True,1,True
345,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,3,1,0,0,0,1,0,13,1,1,1.0,0,7,0.5384615384615384,0,0,0,0,2,1,0,0,0,2,2,0.0,0.0,3.0,4.05,False,simple,0,2,1,0,1,0.5,False,1,1,1,0,0,0,0.0,False,1,0,0.0,1,0,0,False,0,0,0.0,0,0,0,1.0,False,0,0,0,0,2025-12-22 13:02:34.759844,True,1,True
346,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,2,4,3,2,2,0,7,0,31,1,1,3.0,0,7,0.22580645161290322,0,0,0,0,3,4,0,3,0,5,4,0.0,0.0,24.0,27.84,True,simple,0,16,16,0,4,1.0,False,1,9,3,3,2,2,0.4,False,2,1,1.0,2,2,1,True,2,2,0.5,2,1,0,0.0,False,0,0,1,0,2025-12-22 13:02:35.108914,True,1,True
347,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,3,6,1,2,0,6,0,37,1,1,1.8333333333333333,0,9,0.24324324324324326,0,0,0,0,2,1,0,0,1,2,1,0.0,0.0,3.0,4.05,False,simple,0,22,18,2,7,0.8181818181818182,True,2,11,6,2,1,1,0.3333333333333333,False,5,1,0.3333333333333333,5,2,1,True,0,2,0.0,1,0,0,1.0,False,0,0,0,0,2025-12-22 13:02:35.427795,True,1,True
348,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,0,3,2,3,2,0,4,0,22,1,1,2.5,0,8,0.36363636363636365,0,0,0,0,4,1,0,1,1,4,2,0.0,0.0,13.0,15.275,False,simple,0,10,9,1,5,0.9,False,0,5,2,1,1,3,0.75,False,2,0,0.5,2,2,0,True,1,0,0.0,0,0,0,1.0,False,0,0,0,0,2025-12-22 13:02:35.767977,True,1,True
349,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2,7,8,10,11,9,0,9,0,112,1,1,2.6,0,28,0.25,0,0,0,0,3,15,0,9,5,7,4,0.0,0.0,63.0,121.5,True,moderate,1,64,60,2,16,0.9375,False,5,26,10,2,2,11,0.8461538461538461,False,9,1,0.2,9,9,2,True,8,2,0.25,2,0,0,1.0,False,0,0,0,0,2025-12-22 13:02:36.227409,True,1,True
350,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,2,1,2,1,0,5,0,21,1,1,5.0,0,6,0.2857142857142857,0,0,0,0,2,0,0,0,0,1,1,0.0,0.0,2.0,4.0,False,simple,0,11,11,1,6,1.0,False,2,5,1,0,0,2,1.0,False,1,0,0.0,1,1,0,True,1,0,0.0,0,0,0,1.0,False,0,0,0,0,2025-12-22 13:02:36.554854,True,1,True
351,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,3,1,1,2,0,3,0,24,1,1,3.0,0,11,0.4583333333333333,1,0,0,0,2,1,0,0,1,2,2,0.0,0.0,3.0,4.05,False,simple,0,7,7,0,5,1.0,False,0,3,1,1,1,1,0.5,False,1,0,1.0,1,2,0,True,1,0,0.0,0,0,0,1.0,False,0,0,0,0,2025-12-22 13:02:36.873268,True,1,True
352,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,0,2,5,2,2,0,4,0,29,1,1,2.0,0,6,0.20689655172413793,0,0,0,0,2,1,0,1,0,2,1,0.0,0.0,12.0,16.2,False,simple,0,18,15,1,5,0.8333333333333334,False,3,10,5,0,0,2,1.0,False,4,1,0.0,5,2,0,True,1,0,0.0,0,0,0,1.0,False,0,0,0,0,2025-12-22 13:02:37.214370,True,1,True
