contract_id,contract_name,address,file_path,compiler_version,data_source,has_reentrancy,has_access_control_issues,has_timestamp_dependency,has_unchecked_call,has_reentrancy_unlimited,has_reentrancy_benign,has_reentrancy_events,has_unchecked_transfer,has_controlled_delegatecall,has_delegatecall_loop,has_uninitialized_state,has_uninitialized_storage,has_uninitialized_local,has_tx_origin,has_inline_assembly,has_locked_ether,has_msg_value_loop,has_shadowing_state,has_shadowing_builtin,has_shadowing_abstract,has_unused_state_vars,has_unused_return_values,has_incorrect_solc_version,has_floating_pragma,has_outdated_compiler,high_severity_count,medium_severity_count,low_severity_count,num_functions,num_external_calls,num_state_vars,num_modifiers,max_cyclomatic_complexity,num_low_level_calls,lines_of_code,num_contracts_in_file,num_dependencies,avg_function_complexity,num_functions_high_complexity,num_comments,comment_to_code_ratio,num_payable_functions,num_library_calls,inheritance_depth,num_unused_functions,high_confidence_detectors,medium_confidence_detectors,low_confidence_detectors,security_detectors_triggered,optimization_detectors_triggered,total_detector_hits,unique_vulnerability_types,detectors_per_function,detectors_per_loc,risk_score_simple,risk_score_weighted,is_high_risk,contract_complexity_category,complexity_level,cfg_num_nodes,cfg_num_edges,cfg_num_cycles,cfg_max_depth,cfg_avg_branching,cfg_has_complex_loops,cfg_num_exit_points,cfg_cyclomatic_total,cg_num_nodes,cg_num_edges,cg_max_call_depth,cg_num_external_calls,cg_external_call_ratio,cg_has_cyclic_calls,cg_num_public_entry_points,cg_num_internal_functions,cg_avg_calls_per_function,cg_num_leaf_functions,dfg_num_state_vars,dfg_num_tainted_flows,dfg_has_cross_function_flow,dfg_num_sensitive_sinks,dfg_num_external_sources,dfg_taint_to_sink_ratio,dfg_num_unvalidated_inputs,cei_violations,cei_safe_functions,cei_pattern_score,has_reentrancy_guard,functions_with_reentrancy_guard,state_before_call_count,state_after_call_count,unchecked_calls_in_critical_context,label
1,Ownable2Step,,data/safe_contracts/openzeppelin-contracts/contracts/access/Ownable2Step.sol,,openzeppelin,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,7,4,0,1,0,3,0,59,3,1,1.5,0,35,0.5932203389830508,0,0,2,0,4,3,0,0,0,3,1,0.0,0.0,7.0,14.233333333333334,False,simple,0,15,12,0,4,0.8,False,1,6,4,7,1,0,0.0,True,3,1,1.75,5,1,2,True,0,2,0.0,2,0,0,1.0,False,0,0,0,0,0
2,Ownable,,data/safe_contracts/openzeppelin-contracts/contracts/access/Ownable.sol,,openzeppelin,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,5,6,0,1,1,3,0,87,2,1,2.0,0,47,0.5402298850574713,0,0,1,0,3,2,0,0,0,2,1,0.0,0.0,5.0,11.0,False,simple,0,24,21,0,4,0.875,False,1,12,6,10,1,0,0.0,False,3,3,1.6666666666666667,6,1,1,True,0,3,0.0,3,0,0,1.0,False,0,0,0,0,0
3,AccessControl,,data/safe_contracts/openzeppelin-contracts/contracts/access/AccessControl.sol,,openzeppelin,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,0,0,10,12,0,2,1,3,0,189,5,1,1.5,0,121,0.6402116402116402,0,0,2,0,7,3,0,0,0,3,1,0.0,0.0,10.0,30.333333333333336,False,moderate,1,42,32,0,4,0.7619047619047619,False,7,18,12,20,2,0,0.0,True,6,6,1.6666666666666667,8,2,3,True,0,19,0.0,11,0,0,1.0,False,0,0,0,0,0
4,IAccessControl,,data/safe_contracts/openzeppelin-contracts/contracts/access/IAccessControl.sol,,openzeppelin,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,2,5,0,0,0,1,0,87,1,1,1.0,0,74,0.8505747126436781,0,0,0,0,2,0,0,0,0,1,1,0.0,0.0,2.0,4.0,False,simple,0,0,0,0,0,0.0,False,0,0,5,0,0,0,0.0,False,5,0,0.0,5,0,0,False,0,9,0.0,5,0,0,1.0,False,0,0,0,0,0
5,MultipleInheritanceInitializableMocks,,data/safe_contracts/openzeppelin-contracts/contracts/mocks/MultipleInheritanceInitializableMocks.sol,,openzeppelin,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0,0,30,7,0,1,3,5,0,108,6,1,1.8571428571428572,0,36,0.3333333333333333,0,0,0,0,28,2,0,0,0,4,2,0.0,0.0,30.0,220.5,True,simple,0,25,21,0,6,0.84,False,3,13,7,7,0,0,0.0,False,0,7,1.0,4,1,0,True,0,0,0.0,0,0,0,1.0,False,0,0,0,0,0
6,ERC3156FlashBorrowerMock,,data/safe_contracts/openzeppelin-contracts/contracts/mocks/ERC3156FlashBorrowerMock.sol,,openzeppelin,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False,0,2,33,3,4,3,0,6,0,42,7,1,2.6666666666666665,0,10,0.23809523809523808,0,1,1,0,20,15,0,2,0,5,3,0.0,0.0,43.0,262.3,True,simple,0,17,16,0,9,0.9411764705882353,False,2,8,3,2,1,4,0.6666666666666666,False,2,1,0.6666666666666666,3,3,2,True,1,7,2.0,2,0,0,1.0,False,0,0,0,0,0
7,MulticallHelper,,data/safe_contracts/openzeppelin-contracts/contracts/mocks/MulticallHelper.sol,,openzeppelin,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,0,0,41,1,4,0,0,7,0,19,13,1,7.0,0,1,0.05263157894736842,0,0,0,0,23,18,0,0,0,4,2,0.0,0.0,41.0,364.9,True,simple,0,15,16,2,11,1.0666666666666667,True,0,7,1,3,1,4,0.5714285714285714,False,1,0,3.0,3,0,1,False,2,3,0.5,1,0,0,1.0,False,0,0,0,0,0
9,ContextMock,,data/safe_contracts/openzeppelin-contracts/contracts/mocks/ContextMock.sol,,openzeppelin,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,4,3,0,0,0,1,0,25,3,1,1.0,0,1,0.04,0,0,1,0,3,1,0,0,0,2,1,0.0,0.0,4.0,7.4,False,simple,0,6,3,0,1,0.5,False,0,3,3,3,1,0,0.0,False,3,0,1.0,2,0,0,False,0,2,0.0,1,0,0,1.0,False,0,0,0,0,0
11,MerkleProofCustomHashMock,,data/safe_contracts/openzeppelin-contracts/contracts/mocks/MerkleProofCustomHashMock.sol,,openzeppelin,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0,0,32,9,10,0,0,2,0,51,3,1,1.1111111111111112,0,2,0.0392156862745098,0,8,0,0,5,27,0,0,0,3,2,0.0,0.0,32.0,254.93333333333334,True,simple,0,20,11,0,2,0.55,False,10,10,9,2,0,10,0.8333333333333334,False,0,9,0.2222222222222222,10,0,9,False,4,26,2.25,9,0,0,1.0,False,0,0,0,0,0
12,AccessManagedTarget,,data/safe_contracts/openzeppelin-contracts/contracts/mocks/AccessManagedTarget.sol,,openzeppelin,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,0,0,31,4,2,0,0,3,0,27,8,1,1.5,0,2,0.07407407407407407,0,1,2,0,20,11,0,0,0,6,3,0.0,0.0,31.0,143.11666666666667,True,simple,0,13,10,0,4,0.7692307692307693,False,0,6,4,1,1,2,0.6666666666666666,False,4,0,0.25,4,0,1,False,0,2,0.0,1,1,0,0.0,False,0,0,1,0,0
