contract_name,file_path,has_reentrancy,has_access_control_issues,has_timestamp_dependency,has_unchecked_call,high_severity_count,medium_severity_count,low_severity_count,num_functions,num_external_calls,num_state_vars,num_modifiers,max_cyclomatic_complexity,num_low_level_calls
TransparentUpgradeableProxy,blockchain/contracts/collected/TransparentUpgradeableProxy_0x4Dbd4fc5.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
FRAXStablecoin,blockchain/contracts/collected/FRAXStablecoin_0x853d955a.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
MaticToken,blockchain/contracts/collected/MaticToken_0x7D1AfA7B.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
Vyper,blockchain/contracts/collected/Vyper_contract_0xD533a949.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
WBTC,blockchain/contracts/collected/WBTC_0x2260FAC5.sol,False,True,False,False,1,0,57,4,0,0,0,1,0
SwapRouter02,blockchain/contracts/collected/SwapRouter02_0x68b34658.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
MutantApeYachtClub,blockchain/contracts/collected/MutantApeYachtClub_0x60E4d786.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
NonfungiblePositionManager,blockchain/contracts/collected/NonfungiblePositionManager_0xC36442b4.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
TronToken,blockchain/contracts/collected/TronToken_0xf230b790.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
Uni,blockchain/contracts/collected/Uni_0x1f9840a8.sol,False,False,True,False,0,1,15,24,10,17,0,14,0
BaseRegistrarImplementation,blockchain/contracts/collected/BaseRegistrarImplementation_0x57f1887a.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
Azuki,blockchain/contracts/collected/Azuki_0xED5AF388.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
MiniMeToken,blockchain/contracts/collected/MiniMeToken_0x5A98FcBE.sol,True,False,False,False,1,2,55,22,12,12,0,12,0
DSToken,blockchain/contracts/collected/DSToken_0x9f8F72aA.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
MetaSwap,blockchain/contracts/collected/MetaSwap_0x881D4023.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
SMT,blockchain/contracts/collected/SMT_0x55F93985.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
ZeroEx,blockchain/contracts/collected/ZeroEx_0xdef1c0de.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
MasterChef,blockchain/contracts/collected/MasterChef_0xbD17B1ce.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
