feature,importance
low_severity_count,0.3102762334986718
medium_severity_count,0.18228733809033024
num_external_calls,0.12674711026003044
max_cyclomatic_complexity,0.1184203628259038
num_functions,0.11638819955985175
num_state_vars,0.06636055823090016
high_severity_count,0.05651719241162148
num_low_level_calls,0.007227132438503748
num_modifiers,0.006389666310713582
has_timestamp_dependency,0.0040949560146818515
has_unchecked_call,0.003283850180645916
has_access_control_issues,0.0020074001781454185
